amount,location,time,transactions,is_fraud
13673,Chennai,05:44,5,0
6528,Delhi,01:18,6,0
19580,Mumbai,16:26,10,0
24100,Mumbai,05:05,10,0
32066,Chennai,18:09,4,0
33789,Chennai,08:42,1,0
61481,Delhi,21:34,3,1
45793,Bangalore,09:40,7,1
60378,Delhi,06:24,8,1
50486,Bangalore,11:36,5,0
39196,Hyderabad,21:25,5,1
6928,Bangalore,23:31,5,0
30662,Bangalore,11:14,11,0
33350,Mumbai,20:06,11,0
40992,Chennai,01:37,6,1
12313,Delhi,10:47,7,0
17822,Bangalore,11:33,9,0
22067,Delhi,15:51,5,0
44896,Hyderabad,14:04,3,0
30071,Chennai,17:23,2,0
2324,Delhi,17:07,8,0
34862,Bangalore,12:52,11,0
14701,Mumbai,15:01,10,0
43492,Bangalore,07:41,2,0
61352,Delhi,20:26,2,0
5377,Delhi,15:07,2,0
18281,Chennai,14:23,11,0
55435,Bangalore,23:46,3,0
13478,Chennai,19:26,5,1
49066,Mumbai,14:28,4,0
13522,Delhi,17:57,11,0
52684,Delhi,06:07,8,0
28301,Bangalore,00:03,6,0
17005,Bangalore,06:04,9,0
28805,Mumbai,10:49,3,0
871,Delhi,04:08,9,1
23371,Hyderabad,21:55,1,0
47455,Mumbai,18:20,1,0
7368,Mumbai,23:26,9,0
8830,Chennai,14:49,6,0
14793,Chennai,16:14,10,1
68847,Delhi,14:41,1,1
63281,Chennai,13:43,2,0
58638,Hyderabad,02:20,10,1
17040,Delhi,19:40,10,0
43122,Chennai,19:33,5,0
56887,Hyderabad,22:07,11,1
28683,Chennai,14:56,4,0
59941,Chennai,13:46,2,0
41463,Delhi,11:09,11,1
9299,Hyderabad,02:05,7,0
49343,Mumbai,17:03,10,1
43707,Hyderabad,13:22,11,1
55935,Hyderabad,09:38,5,0
67007,Mumbai,04:42,8,1
14684,Delhi,17:23,2,0
30143,Chennai,17:49,10,0
3941,Bangalore,21:53,12,0
24147,Delhi,22:48,5,0
46509,Hyderabad,05:55,3,0
53031,Hyderabad,04:47,11,1
12526,Bangalore,06:24,7,0
21131,Delhi,09:46,6,0
11635,Hyderabad,04:10,10,0
11193,Delhi,14:42,7,0
58439,Chennai,08:13,9,1
56849,Hyderabad,09:43,11,1
69566,Delhi,01:14,7,1
7680,Hyderabad,06:19,4,0
33991,Delhi,10:07,1,0
56946,Mumbai,04:24,9,1
66070,Bangalore,21:51,6,1
6044,Chennai,00:29,2,0
56767,Bangalore,12:45,11,1
15596,Chennai,00:20,3,0
60805,Delhi,02:27,2,1
52987,Bangalore,02:25,5,1
29541,Delhi,05:04,9,0
67340,Mumbai,11:22,12,1
19858,Mumbai,03:09,5,0
20536,Hyderabad,05:49,11,0
59338,Bangalore,20:40,10,1
41936,Mumbai,14:04,8,1
40191,Delhi,18:03,6,0
41185,Chennai,14:02,1,0
38127,Hyderabad,20:55,2,0
66962,Chennai,14:37,9,1
5876,Chennai,18:41,4,0
62841,Bangalore,04:03,8,1
45515,Hyderabad,16:41,3,1
57877,Chennai,16:33,10,1
49370,Delhi,12:26,6,0
7363,Delhi,02:21,2,0
51167,Delhi,08:46,11,1
20209,Delhi,02:37,11,1
46351,Delhi,20:44,11,1
11604,Delhi,17:24,11,0
17250,Bangalore,02:41,11,1
47925,Hyderabad,11:19,3,0
45291,Chennai,06:14,3,0
39270,Hyderabad,16:49,9,0
69513,Hyderabad,21:21,10,1
49877,Mumbai,05:11,12,1
22197,Chennai,01:26,6,0
31633,Chennai,19:18,12,0
31171,Bangalore,07:19,8,0
25930,Delhi,21:36,8,0
37432,Chennai,16:33,7,0
26674,Bangalore,04:55,5,1
63491,Delhi,17:59,2,0
68121,Hyderabad,09:05,3,0
67786,Mumbai,13:05,4,0
46320,Hyderabad,13:03,7,1
31403,Chennai,02:23,4,1
13487,Delhi,04:08,1,0
62425,Mumbai,22:30,8,1
10884,Hyderabad,08:13,3,0
69676,Chennai,03:49,5,1
16470,Hyderabad,07:26,11,0
60414,Hyderabad,03:53,8,1
2654,Bangalore,18:15,12,0
56761,Hyderabad,19:22,4,0
25051,Hyderabad,16:23,2,0
66996,Bangalore,17:01,7,1
6206,Chennai,11:16,12,1
9355,Delhi,07:46,11,0
44083,Mumbai,01:22,9,1
23449,Chennai,22:30,11,0
18175,Hyderabad,22:49,8,1
26922,Hyderabad,06:56,1,0
41142,Bangalore,12:52,9,1
5299,Mumbai,09:22,1,0
44006,Delhi,03:51,6,1
52931,Chennai,12:21,3,0
65711,Delhi,16:17,2,0
10845,Chennai,19:52,3,0
42601,Hyderabad,02:20,11,1
58947,Bangalore,22:27,3,0
46577,Chennai,01:46,6,1
57508,Delhi,20:50,1,1
53742,Delhi,16:51,12,1
4581,Mumbai,19:43,8,1
9312,Mumbai,20:23,6,0
4744,Bangalore,04:43,8,1
49260,Chennai,02:36,3,1
52671,Delhi,20:17,4,0
3896,Mumbai,15:33,7,0
15935,Delhi,08:45,8,0
37931,Chennai,06:07,3,0
59750,Mumbai,22:28,2,0
42389,Delhi,22:04,9,1
39815,Mumbai,22:45,12,0
47881,Bangalore,07:07,4,0
31529,Chennai,00:23,9,1
61763,Bangalore,04:39,2,0
52687,Chennai,16:26,7,1
10166,Mumbai,10:41,2,0
68311,Delhi,04:56,9,1
24350,Mumbai,13:32,1,0
68408,Mumbai,09:10,3,0
30052,Delhi,16:57,5,0
33347,Mumbai,20:35,5,0
40191,Bangalore,17:05,9,1
20710,Mumbai,21:39,12,0
44752,Bangalore,01:52,1,0
35188,Mumbai,18:26,10,0
65778,Bangalore,09:41,5,0
53727,Delhi,14:04,12,0
58119,Chennai,15:29,4,0
19330,Delhi,22:20,12,0
45768,Chennai,04:48,6,1
14417,Delhi,07:29,2,0
32995,Mumbai,03:03,5,0
55305,Mumbai,05:52,6,0
41488,Mumbai,05:31,9,1
40941,Chennai,00:05,7,1
32052,Mumbai,18:22,1,1
65366,Bangalore,20:43,8,1
1571,Hyderabad,13:08,5,0
53355,Delhi,01:25,1,1
26013,Delhi,17:18,2,0
59528,Bangalore,08:52,10,1
16072,Mumbai,03:25,6,0
44944,Bangalore,11:48,3,0
67231,Chennai,16:02,1,1
44152,Chennai,16:29,3,0
68068,Mumbai,10:59,10,1
52005,Bangalore,23:53,5,0
66994,Bangalore,17:31,12,1
62745,Hyderabad,11:21,11,1
55096,Bangalore,09:50,12,1
3992,Bangalore,15:16,11,0
30324,Hyderabad,18:30,3,0
50332,Mumbai,21:15,1,0
14904,Mumbai,00:28,6,0
54627,Mumbai,13:32,10,1
8663,Mumbai,16:13,9,0
63201,Bangalore,12:20,3,0
45369,Bangalore,11:43,12,1
35150,Bangalore,15:12,4,0
39624,Mumbai,09:49,5,0
64594,Delhi,15:22,9,1
36342,Delhi,03:36,11,1
52212,Delhi,04:18,1,1
10858,Delhi,14:41,5,0
28547,Mumbai,17:17,9,0
18492,Hyderabad,19:47,10,0
7153,Bangalore,07:40,4,1
54672,Delhi,22:30,2,0
18518,Hyderabad,17:59,3,0
62850,Chennai,20:12,5,0
8254,Hyderabad,20:36,4,0
5388,Mumbai,13:56,3,0
5263,Chennai,15:11,12,0
38441,Hyderabad,00:19,10,1
44414,Delhi,14:41,9,1
18089,Bangalore,14:17,4,0
43843,Mumbai,23:29,11,1
24905,Hyderabad,23:21,5,0
25818,Mumbai,19:54,11,0
56559,Bangalore,10:05,7,1
24719,Mumbai,15:20,4,1
50775,Mumbai,14:48,5,0
40076,Bangalore,23:36,1,0
47627,Mumbai,01:42,2,1
21434,Chennai,21:32,12,0
15889,Delhi,11:39,4,0
18007,Chennai,04:29,12,1
49471,Chennai,22:35,8,1
29127,Mumbai,21:48,10,0
11230,Bangalore,14:33,12,0
15207,Hyderabad,17:57,9,0
20141,Mumbai,10:54,9,0
27422,Bangalore,15:05,9,0
7792,Chennai,04:32,7,1
8067,Bangalore,14:43,5,0
52397,Delhi,00:47,4,1
6436,Chennai,11:44,2,0
8397,Hyderabad,15:02,5,0
18250,Chennai,11:57,7,0
49979,Chennai,02:43,11,1
17931,Delhi,03:11,9,1
17191,Mumbai,00:48,1,0
61186,Bangalore,13:34,7,1
32941,Chennai,11:09,5,0
15290,Hyderabad,21:26,10,0
2550,Mumbai,06:04,2,0
59015,Bangalore,21:45,1,0
6298,Chennai,14:14,9,0
7898,Mumbai,16:18,4,0
42299,Bangalore,19:49,11,1
31551,Delhi,04:42,9,1
39887,Delhi,01:35,10,1
23455,Chennai,17:31,1,0
50458,Bangalore,10:44,7,1
39806,Chennai,05:48,9,0
30036,Delhi,22:09,8,0
54590,Chennai,17:33,3,0
33922,Mumbai,10:41,2,0
49137,Hyderabad,17:46,4,1
49936,Bangalore,19:02,2,0
28944,Chennai,06:55,6,0
2509,Mumbai,06:47,2,0
63273,Mumbai,22:38,12,1
31869,Bangalore,10:49,5,0
47588,Delhi,08:23,9,1
61580,Hyderabad,23:30,6,0
49089,Delhi,13:02,10,1
19626,Hyderabad,08:35,10,0
55232,Delhi,04:12,6,1
32708,Chennai,17:41,11,0
64544,Chennai,14:10,12,1
22685,Mumbai,23:34,8,0
8198,Bangalore,01:53,2,0
6858,Hyderabad,13:08,11,0
20295,Hyderabad,06:32,8,0
63834,Chennai,00:00,9,1
2053,Hyderabad,16:46,5,0
38076,Hyderabad,16:52,12,0
23996,Hyderabad,03:33,3,0
69503,Delhi,11:17,7,0
53718,Chennai,18:15,12,1
11066,Hyderabad,02:25,7,1
62890,Hyderabad,20:00,12,1
66017,Chennai,20:50,6,0
12999,Bangalore,01:14,4,0
62824,Delhi,01:59,2,1
37249,Bangalore,18:42,1,0
41720,Hyderabad,06:37,3,0
52705,Hyderabad,09:10,10,1
51507,Bangalore,10:24,12,1
10779,Bangalore,23:22,1,1
30927,Hyderabad,10:38,10,0
52496,Delhi,00:40,5,1
59554,Chennai,07:22,9,1
57103,Mumbai,21:37,11,1
39215,Mumbai,22:04,2,0
50307,Mumbai,23:24,6,0
12495,Hyderabad,09:28,6,0
13899,Mumbai,02:11,7,1
67666,Chennai,03:01,2,1
12698,Bangalore,19:50,6,0
2117,Delhi,13:24,2,0
32316,Bangalore,16:10,11,0
18698,Delhi,09:17,8,0
22416,Chennai,08:26,5,0
10582,Delhi,08:15,12,0
26130,Chennai,03:08,5,1
52364,Delhi,19:24,6,0
56941,Bangalore,04:19,6,1
26826,Chennai,10:11,7,0
38700,Chennai,18:50,4,0
37239,Chennai,11:07,10,0
24083,Bangalore,00:46,8,1
27979,Chennai,09:53,12,1
54127,Chennai,04:40,5,1
20703,Chennai,12:04,8,0
63314,Bangalore,12:34,9,1
55327,Bangalore,01:50,6,1
11638,Hyderabad,07:42,11,0
6306,Bangalore,20:43,11,0
43963,Chennai,03:00,2,1
67435,Bangalore,17:37,12,1
58929,Delhi,12:29,11,1
66097,Mumbai,11:01,8,1
55022,Hyderabad,03:53,12,1
41380,Delhi,14:50,4,0
46152,Chennai,03:28,12,1
42300,Hyderabad,09:02,12,1
45467,Hyderabad,21:51,3,0
32470,Bangalore,05:35,3,0
56385,Chennai,07:51,7,1
24930,Chennai,12:01,12,0
26363,Chennai,18:27,7,1
28653,Mumbai,08:48,12,0
8700,Bangalore,03:51,9,1
43227,Mumbai,14:07,5,0
64657,Bangalore,20:20,10,1
51951,Bangalore,03:22,6,1
23113,Delhi,19:37,2,0
41549,Hyderabad,07:19,2,0
19028,Bangalore,12:26,10,0
50793,Chennai,05:31,11,1
23206,Bangalore,05:31,5,0
41732,Chennai,19:03,6,0
64018,Mumbai,06:52,7,1
66748,Chennai,13:43,8,1
58676,Chennai,05:05,10,0
29405,Delhi,01:17,4,0
22547,Chennai,18:47,8,0
15338,Bangalore,03:17,9,1
48585,Bangalore,01:48,12,1
29144,Chennai,03:47,11,1
39521,Hyderabad,14:16,6,0
11901,Chennai,03:49,4,0
46457,Bangalore,20:27,3,0
27582,Mumbai,01:36,6,0
22569,Delhi,22:18,5,0
67925,Hyderabad,04:48,7,1
36849,Mumbai,22:55,3,0
42717,Mumbai,21:25,8,1
35721,Chennai,12:28,2,0
12702,Chennai,16:47,5,0
48874,Chennai,15:20,10,0
12708,Chennai,20:42,12,0
8800,Bangalore,12:13,7,0
65343,Delhi,10:53,5,0
17617,Bangalore,15:50,6,0
6845,Hyderabad,03:40,8,0
21207,Chennai,14:00,7,0
17790,Delhi,05:55,5,1
47742,Delhi,02:23,11,1
22195,Hyderabad,12:40,5,0
31189,Chennai,20:05,12,1
28473,Chennai,02:08,10,1
58835,Hyderabad,00:44,6,1
55853,Mumbai,15:04,4,0
13925,Hyderabad,10:23,5,0
17951,Mumbai,02:33,10,0
22011,Chennai,11:46,4,0
20340,Chennai,19:43,8,0
11862,Hyderabad,04:48,2,0
50835,Delhi,13:20,3,0
11542,Mumbai,17:38,10,0
37845,Hyderabad,21:56,5,0
67284,Mumbai,23:25,5,0
31870,Chennai,12:07,4,0
9807,Bangalore,00:23,6,0
55663,Delhi,17:43,3,0
10067,Hyderabad,18:04,1,0
5720,Hyderabad,12:32,5,0
66173,Chennai,13:44,7,0
20512,Delhi,02:19,2,0
27133,Mumbai,17:20,7,0
9165,Delhi,22:27,12,0
31778,Hyderabad,07:05,7,0
7712,Delhi,21:47,11,0
16155,Hyderabad,22:08,12,1
65565,Delhi,16:33,12,1
49241,Mumbai,23:49,5,0
15973,Hyderabad,10:51,7,0
8871,Delhi,22:36,11,1
60163,Bangalore,11:03,8,1
22373,Delhi,05:16,2,0
15617,Mumbai,23:32,1,1
2110,Mumbai,01:30,6,0
20171,Mumbai,01:35,12,1
55467,Mumbai,10:15,7,1
42434,Delhi,02:36,6,1
7403,Mumbai,07:51,9,0
53050,Hyderabad,14:55,5,0
41223,Delhi,02:35,8,0
26802,Delhi,18:50,5,0
32295,Chennai,11:37,8,0
26114,Bangalore,07:09,1,0
3633,Mumbai,17:22,11,0
1757,Delhi,00:48,11,1
40806,Hyderabad,06:33,4,0
8350,Mumbai,22:17,2,1
30839,Bangalore,13:44,6,0
11628,Bangalore,03:32,3,0
52188,Hyderabad,18:36,1,0
17632,Mumbai,09:16,6,0
52005,Delhi,10:28,5,0
27069,Mumbai,18:06,3,0
59425,Chennai,10:26,2,0
27715,Chennai,09:29,5,0
12351,Mumbai,21:19,12,0
5786,Mumbai,10:09,2,0
47127,Chennai,16:03,11,1
23289,Hyderabad,12:54,8,0
33248,Hyderabad,14:06,3,0
8583,Mumbai,04:12,7,1
11515,Bangalore,18:16,2,1
8950,Mumbai,20:28,3,1
43956,Hyderabad,01:29,1,1
57274,Chennai,15:01,7,1
23150,Delhi,06:58,3,0
58959,Mumbai,01:39,10,1
39180,Chennai,13:56,9,0
11997,Delhi,12:08,7,0
69419,Mumbai,20:51,9,1
50634,Delhi,15:34,8,1
66349,Delhi,12:17,3,1
29207,Hyderabad,08:03,8,0
31008,Mumbai,03:15,11,1
7828,Mumbai,18:54,7,0
23268,Mumbai,07:37,6,0
47526,Bangalore,00:45,12,1
19125,Bangalore,06:53,8,0
23510,Chennai,01:05,1,0
29179,Hyderabad,16:30,1,0
26906,Mumbai,10:45,3,0
42913,Hyderabad,00:09,10,1
19066,Hyderabad,16:55,6,0
49467,Chennai,18:06,6,0
18384,Mumbai,23:27,11,0
42086,Mumbai,22:35,12,1
47269,Mumbai,21:37,3,0
39102,Mumbai,05:46,1,0
51827,Bangalore,01:11,10,1
29453,Bangalore,03:59,8,1
10698,Mumbai,11:20,3,0
12129,Delhi,14:00,5,0
9385,Delhi,08:50,2,0
6810,Chennai,14:46,7,0
54766,Chennai,12:22,9,1
63347,Bangalore,20:48,11,1
59651,Hyderabad,01:18,1,1
14226,Hyderabad,10:10,7,0
10330,Bangalore,02:21,10,1
63773,Hyderabad,13:41,3,0
57411,Mumbai,01:06,6,1
25401,Chennai,22:35,12,0
35268,Delhi,09:15,2,1
64849,Mumbai,01:23,1,1
39107,Bangalore,15:12,2,1
22891,Delhi,02:30,2,0
52596,Chennai,15:57,11,1
51293,Mumbai,11:56,7,1
58928,Hyderabad,08:28,8,1
35700,Bangalore,01:09,12,1
11733,Delhi,17:26,10,0
8493,Chennai,16:26,9,0
62736,Bangalore,07:30,5,1
5051,Bangalore,18:57,9,0
19826,Hyderabad,14:11,3,0
25760,Mumbai,01:27,2,0
57567,Mumbai,20:09,10,1
9283,Hyderabad,12:35,7,0
36702,Bangalore,14:58,1,0
68993,Chennai,03:26,3,1
13633,Hyderabad,18:49,2,0
45571,Chennai,08:24,11,1
62503,Hyderabad,05:17,7,1
53154,Hyderabad,12:56,6,0
6960,Chennai,08:57,6,1
40222,Delhi,08:53,8,1
13373,Mumbai,04:19,12,1
42556,Delhi,23:26,10,1
25133,Chennai,06:58,7,0
68198,Delhi,01:32,3,0
66926,Chennai,04:49,9,1
4294,Mumbai,06:56,4,0
33201,Hyderabad,14:03,6,0
36410,Delhi,14:32,7,0
16736,Hyderabad,07:23,8,0
23776,Chennai,18:35,6,0
34403,Hyderabad,09:01,7,1
28591,Mumbai,20:14,11,0
54174,Bangalore,00:55,11,0
17842,Mumbai,19:51,1,0
40537,Delhi,13:57,7,1
60661,Delhi,06:29,5,0
52555,Bangalore,03:00,9,1
49551,Bangalore,20:38,10,1
14669,Chennai,02:21,5,0
36791,Delhi,20:45,11,0
20151,Bangalore,07:57,1,0
53465,Delhi,21:08,12,0
65691,Delhi,08:58,7,1
5129,Bangalore,22:36,4,0
29645,Bangalore,20:50,8,0
47488,Bangalore,09:54,3,0
24241,Delhi,03:30,3,0
24495,Delhi,20:05,4,0
40750,Chennai,10:23,5,0
61286,Hyderabad,15:03,11,1
9834,Chennai,06:32,2,0
50526,Bangalore,09:26,1,0
20262,Mumbai,06:21,7,0
60474,Mumbai,10:55,12,1
11092,Chennai,10:40,3,0
8103,Hyderabad,14:17,4,0
22599,Bangalore,05:31,2,0
57347,Chennai,12:27,8,1
5444,Bangalore,06:46,6,0
42733,Bangalore,06:01,11,0
33113,Mumbai,22:56,6,0
13962,Chennai,16:37,5,0
6492,Delhi,09:29,12,0
69197,Delhi,13:56,11,1
45422,Chennai,11:48,4,0
53373,Hyderabad,07:14,12,1
28181,Hyderabad,18:32,3,0
5397,Chennai,20:16,9,0
6786,Hyderabad,20:53,1,1
15676,Chennai,14:24,2,0
62680,Mumbai,06:44,11,1
39967,Chennai,21:06,11,0
18478,Chennai,03:32,12,1
37554,Hyderabad,03:31,4,0
34971,Bangalore,06:22,12,0
21520,Hyderabad,17:31,4,0
63501,Delhi,07:00,1,0
14974,Bangalore,21:31,3,0
67570,Hyderabad,23:46,2,0
30798,Chennai,09:16,8,1
23398,Hyderabad,09:23,11,0
15691,Hyderabad,01:00,3,0
22849,Delhi,11:57,8,0
35667,Hyderabad,11:52,6,0
53030,Chennai,14:17,7,1
63184,Chennai,20:56,3,0
8186,Mumbai,03:26,10,1
57930,Mumbai,19:24,6,0
17625,Chennai,15:07,7,0
8801,Delhi,20:20,1,0
69288,Bangalore,23:36,4,0
44841,Bangalore,16:44,12,1
57234,Mumbai,15:22,11,1
50946,Mumbai,17:57,10,0
21068,Bangalore,15:54,8,0
10312,Chennai,10:15,6,0
7099,Bangalore,07:35,11,0
31301,Hyderabad,14:28,10,0
65833,Chennai,10:07,8,1
2829,Hyderabad,12:26,1,0
522,Hyderabad,19:39,11,0
67128,Bangalore,06:41,11,1
45176,Delhi,01:52,4,1
44012,Bangalore,19:38,8,1
48117,Chennai,03:06,11,1
45242,Delhi,20:51,5,0
49506,Hyderabad,01:57,3,1
54136,Hyderabad,08:39,4,0
51997,Mumbai,14:52,4,0
14625,Chennai,01:59,11,1
16650,Chennai,14:42,10,0
18147,Chennai,00:33,12,0
57229,Bangalore,15:59,9,1
23726,Bangalore,05:46,3,0
42684,Bangalore,12:26,10,1
33037,Delhi,12:21,5,0
17981,Mumbai,13:38,12,0
67647,Delhi,22:35,6,0
28987,Mumbai,06:39,12,0
45758,Mumbai,22:41,3,0
42755,Hyderabad,11:35,8,1
55219,Bangalore,09:56,7,1
69015,Hyderabad,00:24,3,0
7919,Mumbai,08:48,3,0
33341,Mumbai,01:44,5,0
4734,Delhi,14:06,10,0
29900,Bangalore,12:15,9,0
38201,Hyderabad,12:24,7,0
41480,Bangalore,01:00,12,1
58573,Mumbai,20:45,12,1
26251,Mumbai,09:28,3,0
10260,Mumbai,05:47,9,0
5826,Chennai,08:35,5,0
33925,Hyderabad,10:29,12,0
5735,Mumbai,10:38,1,0
39972,Chennai,18:35,6,1
42162,Bangalore,07:11,9,0
66709,Mumbai,13:34,9,1
46296,Mumbai,06:42,6,0
38979,Mumbai,19:33,8,0
1653,Hyderabad,21:22,8,0
32458,Hyderabad,21:56,6,0
15360,Chennai,08:34,12,0
68246,Delhi,16:51,9,1
6247,Delhi,20:12,6,0
13077,Mumbai,17:34,1,0
28127,Mumbai,21:27,2,0
57547,Hyderabad,23:43,3,1
43978,Hyderabad,02:04,1,1
33518,Bangalore,02:36,4,0
53929,Chennai,14:40,7,1
2713,Chennai,21:07,9,1
8788,Bangalore,01:44,2,0
66407,Hyderabad,09:50,11,1
11838,Delhi,14:24,7,0
4539,Chennai,05:34,4,0
51748,Bangalore,09:40,3,0
49406,Hyderabad,17:55,9,1
5975,Hyderabad,18:38,7,0
11657,Delhi,06:47,12,0
45569,Mumbai,13:57,11,1
19171,Mumbai,05:14,10,0
25970,Hyderabad,05:42,10,0
60958,Bangalore,02:18,11,0
13371,Mumbai,23:37,8,0
47310,Mumbai,21:41,4,0
9649,Mumbai,10:31,8,0
40565,Bangalore,04:36,10,1
41962,Chennai,05:00,6,0
29535,Chennai,08:53,6,0
43958,Chennai,14:28,6,0
